review_type,item_code,asset_code,name,model,detail
variantes_en_grupo,EQ-0479,,MOTOR GENERADOR DE CD.N.28-150,92239,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0482,,TAMBOR DE MODULO CONTROLADOR 28-620,92223,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0511,,INSTRUMENTO PARA MEDIR CON LUZ-LA CORRIENTE Y LA TENSION NORMA,98924,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0581,,TABLERO DE CONTROL INDUSTRIAL SIEMENS PARA LOGO 230RCE,SIN/MODELO,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0593,,MEDIDOR DE RESISTENCIA DE TIERRA-NOS.DQ68 Y DQ69-TIPO MTA2,102144,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0625,,ESTANTE MELAMINICO 3 ESPACIOS CON PUERTA EN LA PARTE INFERIOR DE: 198CM X 90CM X 40CM,102179,1 nombres; 3 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0630,,MESAS ESPECIALES PARA COMPUTADORA TABLERO FORMICADO COLOR GRIS CON 2 TABLEROS PARA TECLADO 2 BASES DE C.P.U. 3 PASACABLES DE 230 CM X 60CM X 74CM,93004,1 nombres; 9 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0642,,SILLA ARMAZON METALICO ASIENTO Y ESPALDAR DE MADERA COROSIL NEGRO,446590,1 nombres; 5 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0643,,SILLA DE CONFERENCIA ALTA REF.S 313,377307,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0644,,SILLA ESTRUCTURA DE HIERRO TABLERO Y ASIENTO FORRADO CON COROSIL,377333,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0645,,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON COROSIL COLOR NEGRO,262102,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0648,,VITRINA ESTRUCTURA DE CEDRO Y DIVISIONES DE PLYWOOD DE 15 MM.DE:109.5X34.6X201 CM.SEIS ESPACIOS UNA PUERTA DOBLE HOJA CON VIDRIO EN LA PARTE SUPERIOR UNA PUERTA DE MADERA DOBLE HIJA EN LA PARTE BAJA,92609,1 nombres; 3 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0655,,TABURETE ARMAZON DE HIERRO,92840,1 nombres; 4 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0656,,TABURETE DE HIERRO,92272,1 nombres; 14 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0657,,TABURETE GIRATORIO ESTRUCTURA DE TUBO CUADRADO CON PERNO 60 CM.DE ALTO,102043,1 nombres; 2 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0658,,TABURETE ESTRUCTURA DE TUBO CUADRADO DE 1 ASIENTO DE MADERA DE 32 CM.DE DIAMETRO 61 CM.DE ALTO,102042,1 nombres; 6 modelos; revisar si deben separarse
variantes_en_grupo,EQ-0659,,TABURETES ESTRUCTURA DE TUBO REDONDO GALVANIZADO DE 1/2 CONASIENTO DE CEDRO DE 25.5 CM DE DIAMETRO Y 66 CM DE ALT0,92841,1 nombres; 12 modelos; revisar si deben separarse
categoria_pendiente,EQ-0668,,TELEFONO CISCO MODELO 6921,CP-6921,pendiente
categoria_pendiente,EQ-0669,,SILLA SIN BRAZOS TAPIZADA EN CUERINA NEGRA,S/M,pendiente
categoria_pendiente,EQ-0670,,MESA INTELIGENTE CON SET SOCKETS DE CONSOLA DE ADMINISTRACION DE EQUIPOS DE COMUNICACIONES DIMENSIONES 2.10M X 60CM X 75CM,S/M,pendiente
categoria_pendiente,EQ-0672,,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON TAPIZ NEGRO,80789,pendiente
categoria_pendiente,EQ-0673,,SILLA GIRATORIA ACTIVA ESTRUCTURA METALICA Y PLASTICA ASIENTO Y ESPALDAR TAPIZADO EN YUTE VERDE 5 RUEDAS GARRUCHAS,82586,pendiente
categoria_pendiente,EQ-0677,,SILLA ESTRUCTURA DE TUBO CUADRADO DE 1 ASIENTO Y ESPALDAR FORRADO CON COROSIL NEGRO,80680,pendiente
categoria_pendiente,EQ-0678,,SILLA SIN CODERAS ASIENTO Y ESPALDAR TAPIZADOS EN DAMASCO AZUL CON PORTA LIBROS EN LA PARTE INFERIOR,284265,pendiente
categoria_pendiente,EQ-0679,,SILLA APILABLE ESTRUCTURA METALICA CON CODERAS ASIENTO Y ESPALDAR TAPIZADOS EN DAMASCO COLOR VERDE,286806,pendiente
categoria_pendiente,EQ-0680,,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON TAPIZ NEGRO,376202,pendiente
categoria_pendiente,EQ-0681,,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON TAPIZ NEGRO,376204,pendiente
categoria_pendiente,EQ-0682,,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON TAPIZ NEGRO,376228,pendiente
categoria_pendiente,EQ-0683,,SILLA ALTA RECLINABLE EJECUTIVA CON BRAZOSBASE DE CINCO PUNTAS CON GARRUCHAS SISTEMA A GAS PARA REGULACION DE ALTURA ASIENTO Y ESPALDAR TAPIZADO EN CUERINA NEGRA 11,462678,pendiente
categoria_pendiente,EQ-0684,,UPS 550VA MARCA APC MODELO BE550G LM SERIE NO 4B1217P40957,BE550G-LM,pendiente
categoria_pendiente,EQ-0705,,SILLA ESTRUCTURA METALICA GRIS ASIENTO Y ESPALDAR TAPIZADOS EN TELA AZUL,306611,pendiente
categoria_pendiente,EQ-0706,,SILLA ESTRUCTURA METALICA GRIS ASIENTO Y ESPALDAR TAPIZADOS EN TELA AZUL,306636,pendiente
categoria_pendiente,EQ-0707,,SILLA ESTRUCTURA METALICA GRIS ASIENTO Y ESPALDAR TAPIZADOS EN TELA AZUL,306637,pendiente
categoria_pendiente,EQ-0708,,MODULO RECTANGULAR CON PEDESTALES METALICOS TUBULARES CON REGULADORES DE PISO DE: 70 CM X 50 CM X 72 CM DE ALTO,306774,pendiente
categoria_pendiente,EQ-0709,,MODULO RECTANGULAR CON PEDESTALES METALICOS TUBULARES CON REGULADORES DE PISO DE: 70 CM X 50 CM X 72 CM DE ALTO,306779,pendiente
categoria_pendiente,EQ-0710,,MODULO RECTANGULAR CON PEDESTALES METALICOS TUBULARES CON REGULADORES DE PISO DE: 70 CM X 50 CM X 72 CM DE ALTO,306782,pendiente
categoria_pendiente,EQ-0711,,MODULO RECTANGULAR CON PEDESTALES METALICOS TUBULARES CON REGULADORES DE PISO DE: 70 CM X 50 CM X 72 CM DE ALTO,306783,pendiente
categoria_pendiente,EQ-0712,,SILLA ESTRUCTURA DE TUBO CUADRADO DE 1 CON ASIENTO Y ESPALDAR DE MADERA CONTRACHAPADA DE 15MM.TAPIZADO CON EXPANDIBLE NEGRO,376152,pendiente
categoria_pendiente,EQ-0713,,SILLA ESTRUCTURA DE TUBO CUADRADO DE 1 CON ASIENTO Y ESPALDAR DE MADERA CONTRACHAPADA DE 15MM.TAPIZADO CON EXPANDIBLE NEGRO,376154,pendiente
categoria_pendiente,EQ-0714,,MESA ESTRUCTURA METALICA TABLERO DE FORMICA DE:120X60 CM.,283337,pendiente
categoria_pendiente,EQ-0715,,MESA ESTRUCTURA METALICA TABLERO DE FORMICA DE:120X60 CM.,283338,pendiente
categoria_pendiente,EQ-0716,,MESA ESTRUCTURA METALICA TABLERO DE FORMICA DE:120X60 CM.,283343,pendiente
categoria_pendiente,EQ-0717,,MESA ESTRUCTURA METALICA TABLERO DE FORMICA DE:120X60 CM.,283352,pendiente
categoria_pendiente,EQ-0718,,MESA ESTRUCTURA METALICA TABLERO DE FORMICA DE:120X60 CM.,283358,pendiente
categoria_pendiente,EQ-0719,,MESA ESTRUCTURA METALICA TABLERO DE FORMICA DE:120X60 CM.,283359,pendiente
categoria_pendiente,EQ-0723,,MODULO DE EXPANSION 2 ENTRADAS ANALOGICAS MARCA SIEMENS SERIE SZVT7ML000339,S/M,pendiente
