item_code,asset_code,old_code,serial_code,model,brand,entry_date,assignment_date,condition,availability_status,notes
EQ-0659,28281915,446689,446689,446689,446689,1997-06-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0659,28281916,446690,446690,446690,446690,1997-06-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0659,28281917,446691,446691,446691,446691,1997-06-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0659,28281918,446692,446692,446692,446692,1997-06-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0659,28281919,446693,446693,446693,446693,1997-06-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0659,28281920,446694,446694,446694,446694,1997-06-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0659,28281921,446695,446695,446695,446695,1997-06-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0659,28281922,446696,446696,446696,446696,1997-06-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0659,28281923,446697,446697,446697,446697,1997-06-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0648,28281924,447187,447187,447187,447187,1993-10-06,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0648,28281925,447188,447188,447188,447188,1993-10-06,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0622,28283003,462785,462785,462785,462785,2013-09-11,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0629,28283314,92453,92453,S/M,S/M,1991-12-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0628,28283315,92454,92454,S/M,S/M,1991-12-09,2019-06-19,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0714,28285454,,28285454,283337,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0715,28285455,,28285455,283338,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0716,28285460,,28285460,283343,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0717,28285469,,28285469,283352,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0718,28285475,,28285475,283358,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0719,28285476,,28285476,283359,,,,good,available,Inventario oficial 2026-06-09; asignación: grupo_nuevo_firma_exacta
EQ-0641,28285560,285480,285480,285480,285480,2009-09-24,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0608,28286565,356034,356034,356034,356034,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0610,28286566,356035,356035,356035,356035,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0611,28286567,356036,356036,356036,356036,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0612,28286568,356037,356037,356037,356037,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
EQ-0613,28286569,356038,356038,356038,356038,2011-11-15,2019-06-20,good,available,Inventario oficial 2026-06-09; asignación: codigo_patrimonial_existente
