item_code,name,stock_total,suggested_category,matched_old_item,matched_old_name,similarity,confidence,approved_category
EQ-0744,IMPRESORA 3D DE GRAN FORMATO CREALITY-MODELO:CR-10 MAX- SERIE: S0000000000000142421001010300,1,BIENES SUJETOS A CONTROL,EQ-0116,BIENES SUJETOS A CONTROL/IMPRESORA/IMPRESORA LASER MARCA SAMSUNG MODELO ML 2010 XAA SERIE 3A61BKDP310829M,0.326,baja,BIENES SUJETOS A CONTROL
EQ-0745,KIT ENGINEER REV2 ARDUINO-MODELO:REV2-INCLUYE: UN NANO 33 LOT-UN NANO AUTOTRANSPORTE CON IMU Y CARGADOR DE BATERIA-TRES JUEGOS DE PIEZAS MECANICAS-UNA BATERIA LI LON- DOS MOTORES ENGRANADO CON CODIFICADORES- UN MOTOR DC CON CODIFICADORES-UN SERVOMOTOR-UN CABLE USB-DOS MARCADORES DE PIZARRA-DOS RUEDAS-1 LLAVE ALLEN-UNA WEBCAM-UNA ROSCA DE NYLON-UNA CAJA DE HERRAMIENTAS DE PLASTICO-UNA LICENCIA INDIVIDUAL DE UN AÑO PARA MATLAB Y SIMULINK-UNA PLATAFORMA DE E-LEARNING.,2,BIEN INSTITUCIONAL,EQ-0456,EQUIPO ELECTRONICO DIDACTICO PARA EL CONTROL DE VELOCIDAD DE UN MOTOR DE INDUCCION BASADO EN EL SISTEMA RECUPERADOR DE ENERGIA DE DESLIZAMIENTO-COMPUESTO DE 9 MODULOS,0.183,baja,BIEN INSTITUCIONAL
EQ-0746,EQUIPO DE MEDICION DE RELACION DE TRANSFORMACION EN TRANSFORMADORES AEMC-MODELO:CHAUVIN ARNOUX DTR 8510-SERIE:155970WGDV.INCLUYE:KIT DE PRUEBA DE RESISTENCIA A TIERRA DE 4 PUNTOS-KIT DE PRUEBA 500 PIES DE 4 PUNTOS-BOLSA DE TRANSPORTE-2 CABLES 500 PIES CODIFI. X COLORES EN CARRETES(ROJO/AZUL)-2 CABLES 100 PIES CODIFI. X COLORES(VERDE/NEGRO)-1 CABLE 30 PIES VERDE-2 CABLES CODIFI. X COLOR 5 PIES(ROJO/AZUL)-4 ELECTRODOS-1 JGO.5 OREJETAS-CINTA METR.100 PIES-JGO.2 VARRILL,1,EQUIPOS DE OFICINA Y ADMINISTRACION,EQ-0542,EQUIPOS DE OFICINA Y ADMINISTRACION/PROYECTOR/PROYECTOR SONY- MODELO VPL-CS6- SERIE 44706- CONTROL REMOTO MARCA SONY- MODELO RM-PJM12- EN MALETIN NEGRO DE TELA,0.208,baja,EQUIPOS DE OFICINA Y ADMINISTRACION
EQ-0750,DIMENSIONES LARGO DE CADENA 6.69M ESPESOR DE ESLABON 7MM,1,BIENES SUJETOS A CONTROL,EQ-0118,BIENES SUJETOS A CONTROL/JUEGO DE LLAVES/JUEGO DE LLAVES EXAGONALES MILLERS,0.308,baja,BIENES SUJETOS A CONTROL
EQ-0752,ALICATE UNIVERSAL 8 PULGADAS-MARCA COMANDO-COLOR VERDE Y NEGRO,1,MUEBLES DE OFICINA,EQ-0627,MUEBLES DE OFICINA/FRANELOGRAFO/FRANELOGRAFO EN MADERA CONTRACHAPADA DE 9 MM FORRADO CON PANO COLOR VERDE DE 150X80 CM,0.296,baja,MUEBLES DE OFICINA
EQ-0753,cAJA PARA HERRAMIENTAS METALICA-MEDIDAS 37 X 16 X 17 CM-ACERO REFORZADO-MARCA BP-COLOR AZUL,1,MUEBLES DE OFICINA,EQ-0628,MUEBLES DE OFICINA/LAMPARA/DE EXTERIORES/LAMPARA DE SENALIZACION COLOR ROJO 120V CON CAJA METALICA DE 10X8X7 CM CON DOS BORNES DE CONEXION,0.298,baja,MUEBLES DE OFICINA
EQ-0754,CINTURON PORTA HERRAMIENTAS-CINTUR N AJUSTABLE: 50 MM X 150 CM-MARCA CUMBRE-COLOR NEGRO-POLIESTER,1,HERRAMIENTAS MENORES,EQ-0580,HERRAMIENTAS MENORES/CONDENSADOR/CONDENSADOR AJUSTABLE MONOFASICO-TRIFASICO-DL-2021,0.301,baja,HERRAMIENTAS MENORES
EQ-0755,COMBO CABEZA DE 3 LB MANGO DE MADERA-MARCA HERRAGRO-COLOR METAL-METAL Y MADERA,1,MUEBLES DE OFICINA,EQ-0627,MUEBLES DE OFICINA/FRANELOGRAFO/FRANELOGRAFO EN MADERA CONTRACHAPADA DE 9 MM FORRADO CON PANO COLOR VERDE DE 150X80 CM,0.314,baja,MUEBLES DE OFICINA
EQ-0756,COMBO CABEZA DE 8 LB-CON MANGO DE MADERA MARCA HERRAGRO- OLOR METAL- METAL Y MADERA,1,EQUIPO PARA ENSENANZA DE ELECTRONICA,EQ-0484,EQUIPO PARA ENSENANZA DE ELECTRONICA/LABORATORIO DE ELECTRONICA MARCA NATIONAL INSTRUMENTS NI ELVIS-SERIE NO 12A5AE2,0.312,baja,EQUIPO PARA ENSENANZA DE ELECTRONICA
EQ-0757,FLEXOMETRO 5 METROS-MARCA GIANT- COLOR NEGRO AMARILLO-PLASTICO-7 CM,1,AMPERIMETRO,EQ-0339,AMPERIMETRO/AMPERIMETRO DE TENAZA AMPERCLAMP ITALIANO ICE-ESCALA DE 2 5 A 500-EN ESTUCHE DE PLASTICO,0.297,baja,AMPERIMETRO
