source_row,asset_code,name,model
194,25315025,"MULTIMETRO DIGITAL MARCA PROSKIT, MODELO MT-5211, SERIE NO. 091261396",MT-5211
195,26014979,"MULTIMETRO DIGITAL, MARCA FLUKE, MODELO 116, SERIE 42530885WS",116
196,26014980,"KIT DE HERRAMIENTAS, MARCA FLUKE, MODELO 117, SERIE 43523451WS",117
197,26125345,"TESTER (PINZA DE RESISTENCIA DE TIERRA) MARCA AEMC, MODELO 6417, SERIE 108752RLDV",6417
198,26221313,ACCESS POINT ZONEFLEX R610 DUAL-BAND 802.11 ABGN/AC AP KIT DE MOTAJE POE LICENCIA GARANTIA 3 ANIOS,ACCESS POINT ZONEFLEX R610 ABGN/AC
199,27709526,SILLA ESTRUCTURA DE TUBO CUADRADO ASIENTO Y ESPALDAR FORRADO CON TAPIZ NEGRO,80789
200,27709728,SILLA GIRATORIA ACTIVA ESTRUCTURA METALICA Y PLASTICA ASIENTO Y ESPALDAR TAPIZADO EN YUTE VERDE 5 RUEDAS GARRUCHAS,82586
201,27709740,BIENES SUJETOS A CONTROL/ESCRITORIO/MIXTO/ESCRITORIO ESTRUCTURA DE HIERRO Y MADERA DE:150X80X73 CM.TABLERO FORRADO CON COROSIL NEGRO CON 3 GAVETAS,82755
202,27709751,BIENES SUJETOS A CONTROL/BANCA/MADERA/BANCA DE MADERA ASIENTO CON COJINES NEGROS 121.5X29X45 CM.*,82967
203,27709935,BIENES SUJETOS A CONTROL/BASURERO/PLASTICO/TACHO DE PLASTICO CON BALANCIN,92393
204,27709936,BIENES SUJETOS A CONTROL/PIZARRA/PIZARRON PORCELANIZADO PARA TIZA LIQUIDA MARCO DE ALUMINIO CON PORTATIZAS DE 2.355M X 1. 225M,92424
205,27709940,BIENES SUJETOS A CONTROL/ESCRITORIO/MADERA/ESCRITORIO DE 1.45 X 0.80 MTS.REF E 105,92987
206,27709946,SILLA APILABLE MODELO MILANO SIN BRAZOS ESTRUCTURA DE TUBO REDONDO ASIENTO Y ESPALDAR TAPIZADO EN YUTE LACRE,93005
207,27709947,PERSIANA VERTICAL PLASTICA COLOR BEIGE DE: 142 CM X 160 CM (5),93119
208,27709948,PERSIANA PLASTICA VERTICAL COLOR GRIS DE: 620 CM X 270 CM X 210 CM DE ALTO Y DE. 240 CM X 246 CM X 181 CM DE ALTO,93122
209,27710113,PERSIANA VERTICAL PLASTICARIBCORD GRIS DE: 1.40M X 1.55M,102155
210,27710114,PERSIANA VERTICAL PLASTICARIBCORD GRIS DE: 2M X 1.55M,102156
211,27710115,SILLA MILANO SIN BRAZOS ESTRUCTURA DE TUBO REDONDO ASIENTO Y ESPALDAR TAPIZADO EN YUTE LACRE,102174
212,27710116,SILLA SATURNO CON BRAZOS ESTRUCTURA DE TUBO REDONDO ASIENTO Y ESPALDAR TAPIZADO EN YUTE LACRE,102175
213,27710313,BIENES SUJETOS A CONTROL/MESA RECTANGULAR/MIXTO/MESA RECTANGULAR ESTRUCTURA METALICA Y SUPERFICIE DE MADERA DE: 85 CM X 60 CM,293728
214,27713753,SILLA ESTRUCTURA DE TUBO CUADRADO DE 1 ASIENTO Y ESPALDAR FORRADO CON COROSIL NEGRO,80680
215,27715934,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272332
216,27715935,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272333
217,27715936,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272334
218,27715937,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272335
219,27715938,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272336
220,27715939,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272337
221,27715940,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272338
222,27715941,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272339
223,27715942,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272340
224,27715943,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272341
225,27715944,SILLA ESTRUCTURA METALICA SIN BRAZOS ESPALDAR PLASTICO Y ASIENTO TAPIZADO EN DAMASCO AZUL,272342
